学校名,住所,区,学校種別,設置区分,特別支援
さいたま市立栄小学校,埼玉県さいたま市西区飯田８１１,西区,小学校,公立,知的固定・情緒固定あり
さいたま市立宮前小学校,埼玉県さいたま市西区宮前町３４１番地,西区,小学校,公立,知的固定・情緒固定あり
さいたま市立指扇北小学校,埼玉県さいたま市西区中釘１５０６－１,西区,小学校,公立,知的固定・情緒固定あり
さいたま市立東大成小学校,埼玉県さいたま市北区東大成町２－１２,北区,小学校,公立,知的固定・情緒固定あり
さいたま市立日進小学校,埼玉県さいたま市北区日進町２－９１１,北区,小学校,公立,知的固定・情緒固定あり
さいたま市立日進北小学校,埼玉県さいたま市北区日進町３－１７８,北区,小学校,公立,知的固定・情緒固定あり
さいたま市立宮原小学校,埼玉県さいたま市北区宮原町４－１０２－６,北区,小学校,公立,知的固定・情緒固定あり
さいたま市立植竹小学校,埼玉県さいたま市北区植竹町２－１,北区,小学校,公立,知的固定・情緒固定あり
さいたま市立大砂土小学校,埼玉県さいたま市北区本郷町１,北区,小学校,公立,知的固定・情緒固定あり
さいたま市立大宮別所小学校,埼玉県さいたま市北区別所町４２－１,北区,小学校,公立,知的固定・情緒固定あり
さいたま市立泰平小学校,埼玉県さいたま市北区今羽町６２８番地,北区,小学校,公立,知的固定・情緒固定あり
さいたま市立つばさ小学校,埼玉県さいたま市北区宮原町３－９０２－４,北区,小学校,公立,知的固定・情緒固定あり
さいたま市立大宮小学校,埼玉県さいたま市大宮区大門町３－３,大宮区,小学校,公立,知的固定・情緒固定あり
さいたま市立大宮東小学校,埼玉県さいたま市大宮区堀の内町３－１４５,大宮区,小学校,公立,知的固定・情緒固定あり
さいたま市立大宮南小学校,埼玉県さいたま市大宮区吉敷町３－８７,大宮区,小学校,公立,知的固定・情緒固定あり
さいたま市立大宮北小学校,埼玉県さいたま市大宮区宮町３－８４,大宮区,小学校,公立,知的固定・情緒固定あり
さいたま市立桜木小学校,埼玉県さいたま市大宮区桜木町４－３２８－９,大宮区,小学校,公立,知的固定・情緒固定あり
