緯度,経度,名称,住所,区,種別,設置区分,特別支援,定員,電話番号
35.868343,139.682648,さいたま市立中尾小学校,埼玉県さいたま市緑区中尾２５９６－１,緑区,小学校,公立,知的固定・情緒固定あり,,
35.872887,139.706863,さいたま市立大牧小学校,埼玉県さいたま市緑区東浦和６－１２－３,緑区,小学校,公立,知的固定・情緒固定あり,,
35.881706,139.691605,さいたま市立芝原小学校,埼玉県さいたま市緑区芝原２丁目５番地,緑区,小学校,公立,知的固定・情緒固定あり,,
35.890549,139.735031,さいたま市立美園小学校,埼玉県さいたま市緑区美園５－３３,緑区,小学校,公立,知的固定・情緒固定あり,,
35.900673,139.723404,さいたま市立美園北小学校,埼玉県さいたま市緑区美園２－１２－１１,緑区,小学校,公立,知的固定・情緒固定あり,,
35.952251,139.69928,さいたま市立岩槻小学校,埼玉県さいたま市岩槻区本町５－６－４５,岩槻区,小学校,公立,知的固定・情緒固定あり,,
35.948357,139.703598,さいたま市立太田小学校,埼玉県さいたま市岩槻区仲町１－１７－３,岩槻区,小学校,公立,知的固定・情緒固定あり,,
35.941936,139.731674,さいたま市立川通小学校,埼玉県さいたま市岩槻区大字大野島４２２－１,岩槻区,小学校,公立,知的固定・情緒固定あり,,
35.933502,139.701309,さいたま市立柏崎小学校,埼玉県さいたま市岩槻区大字柏崎７６２,岩槻区,小学校,公立,知的固定・情緒固定あり,,
35.925728,139.720459,さいたま市立和土小学校,埼玉県さいたま市岩槻区大字黒谷１３５３,岩槻区,小学校,公立,知的固定・情緒固定あり,,
35.910622,139.733231,さいたま市立新和小学校,埼玉県さいたま市岩槻区尾ヶ崎１２５２,岩槻区,小学校,公立,知的固定・情緒固定あり,,
35.980961,139.708237,さいたま市立慈恩寺小学校,埼玉県さいたま市岩槻区大字慈恩寺２５９,岩槻区,小学校,公立,知的固定・情緒固定あり,,
35.967049,139.671631,さいたま市立河合小学校,埼玉県さいたま市岩槻区大字平林寺３５１,岩槻区,小学校,公立,知的固定・情緒固定あり,,
35.969917,139.709213,さいたま市立東岩槻小学校,埼玉県さいたま市岩槻区諏訪２－６－１,岩槻区,小学校,公立,知的固定・情緒固定あり,,
35.961689,139.693848,さいたま市立城北小学校,埼玉県さいたま市岩槻区岩槻６６１９,岩槻区,小学校,公立,知的固定・情緒固定あり,,
35.973942,139.716553,さいたま市立徳力小学校,埼玉県さいたま市岩槻区徳力１３６－４,岩槻区,小学校,公立,知的固定・情緒固定あり,,
35.965263,139.704712,さいたま市立上里小学校,埼玉県さいたま市岩槻区上里２－２,岩槻区,小学校,公立,知的固定・情緒固定あり,,
35.952625,139.684021,さいたま市立西原小学校,埼玉県さいたま市岩槻区西原６番２５号,岩槻区,小学校,公立,知的固定・情緒固定あり,,
35.935474,139.713043,さいたま市立城南小学校,埼玉県さいたま市岩槻区南下新井１１９１－１,岩槻区,小学校,公立,知的固定・情緒固定あり,,
35.944633,139.631058,さとえ学園小学校,埼玉県さいたま市北区本郷町１８１３,北区,小学校,私立,,,
35.887722,139.71698,青山学院大学系属浦和ルーテル学院小学校,埼玉県さいたま市緑区大字大崎３６４２,緑区,小学校,私立,,,
35.972267,139.71817,開智小学校,埼玉県さいたま市岩槻区徳力西１８６,岩槻区,小学校,私立,,,
